Specimen,Group,P4_width
CMNMA 54670,Recent,10.33
CMNMA 54671,Recent,10.72
CMNMA 54672,Recent,10.53
CMNMA 54674,Recent,10.53
CMNMA 54675,Recent,10.61
CMNMA 54676,Recent,11.03
CMNMA 54686,Recent,10.32
CMNMA 54692,Recent,10.67
CMNMA 54718,Recent,9.79
CMNMA 54744,Recent,10.68
CMNMA 54745,Recent,11.12
CMNMA 54748,Recent,10.42
CMNMA 54749,Recent,9.79
CMNMA 54751,Recent,10.72
CMNMA 54752,Recent,10.86
CMNMA 54757,Recent,9.5
CMNMA 54758,Recent,9.48
CMNMA 54759,Recent,10.89
CMNMA 54792,Recent,10.65
CMNMA 54793,Recent,10.26
CMNMA 54794,Recent,10.53
CMNMA 54795,Recent,10.53
CMNMA 54796,Recent,10.03
CMNMA 54797,Recent,10.56
CMNMA 54798,Recent,10.03
CMNMA 54799,Recent,10.52
CMNMA 54800,Recent,11.57
CMNMA 54802,Recent,9.28
CMNMA 54803,Recent,9.63
CMNMA 54804,Recent,10.45
CMNMA 54980,Recent,10.41
CMNMA 55006,Recent,10.52
CMNMA 75561,Recent,11.23
CMNMA 8802,Recent,10.63
CMNMA 8803,Recent,10.6
CMNMA 8804,Recent,10.24
CMNMA21732,Recent,9.83
CMNMA54270,Recent,10.24
CMNMA54271,Recent,10.21
YG 103.111,Pleistocene-Yukon,9.8
YG 2.17,Pleistocene-Yukon,11.3
YG 273.1,Pleistocene-Yukon,12.3
YG 474.32,Pleistocene-Yukon,10.6
YG 498.1,Pleistocene-Yukon,8
YG 585.2,Pleistocene-Yukon,10.2
YG 647.15,Pleistocene-Yukon,14.6
YG 648.201,Pleistocene-Yukon,11.3
YG 648.929,Pleistocene-Yukon,9.9
